raw_problem_id,source_doc_title,paper,question_number,source_pdf_page_number,answer_format,has_visual_context,topic_id,skill_id,archetype_id,difficulty_estimate,requires_visual_component,visual_component_type,needs_archetype_review
epp_latymer_practice1_math_q01,The Latymer School Practice Test 1,Mathematics,1,3,multiple_choice,False,number_place_value,np_words_to_digits,number_words_to_digits_large,1,False,,no
epp_latymer_practice1_math_q02,The Latymer School Practice Test 1,Mathematics,2,3,multiple_choice,False,algebra,alg_substitution,substitute_expression_values,2,False,,no
epp_latymer_practice1_math_q03,The Latymer School Practice Test 1,Mathematics,3,4,multiple_choice,False,measurement_units,meas_unit_selection,plausible_measure_unit,1,False,,no
epp_latymer_practice1_math_q04,The Latymer School Practice Test 1,Mathematics,4,4,multiple_choice,False,algebra,alg_expressions_from_words,expression_from_repeated_group,2,False,,no
epp_latymer_practice1_math_q05,The Latymer School Practice Test 1,Mathematics,5,5,multiple_choice,False,measurement_units,meas_unit_conversion,metric_conversion_length_capacity_mass,2,False,,no
epp_latymer_practice1_math_q06,The Latymer School Practice Test 1,Mathematics,6,5,multiple_choice,False,measurement_units,meas_money_shopping,money_total_and_change,2,True,price_table_optional,no
epp_latymer_practice1_math_q07,The Latymer School Practice Test 1,Mathematics,7,6,multiple_choice,False,mixed_problem_solving,mixed_constraints,balanced_percentage_completion,4,False,,no
epp_latymer_practice1_math_q08,The Latymer School Practice Test 1,Mathematics,8,6,multiple_choice,True,geometry,geom_line_symmetry_text,line_symmetry_letters_words,2,True,text_symmetry,no
epp_latymer_practice1_math_q09,The Latymer School Practice Test 1,Mathematics,9,7,multiple_choice,False,fractions,frac_compare_equivalence,equivalent_fraction_missing_denominator,3,False,,no
epp_latymer_practice1_math_q10,The Latymer School Practice Test 1,Mathematics,10,8,multiple_choice,True,geometry,geom_3d_shape_properties,shape_edges_faces_vertices,2,True,3d_shape,no
epp_latymer_practice1_math_q11,The Latymer School Practice Test 1,Mathematics,11,9,multiple_choice,True,geometry,geom_volume,volume_cube_cuboid,2,True,3d_shape_optional,no
epp_latymer_practice1_math_q12,The Latymer School Practice Test 1,Mathematics,12,9,multiple_choice,True,geometry,geom_3d_shape_properties,shape_edges_faces_vertices,2,True,3d_shape,no
epp_latymer_practice1_math_q13,The Latymer School Practice Test 1,Mathematics,13,10,multiple_choice,False,data_statistics,stat_mean,mean_find_missing,3,False,,no
epp_latymer_practice1_math_q14,The Latymer School Practice Test 1,Mathematics,14,10,multiple_choice,True,geometry,geom_line_symmetry_shapes,line_symmetry_shapes,2,True,shape_symmetry,no
epp_latymer_practice1_math_q15,The Latymer School Practice Test 1,Mathematics,15,11,multiple_choice,False,measurement_units,meas_time_duration,time_duration_start_end,2,False,,no
epp_latymer_practice1_math_q16,The Latymer School Practice Test 1,Mathematics,16,12,multiple_choice,True,geometry,geom_area_basic,area_rectangle_triangle_parallelogram,2,True,area_shape_optional,no
epp_latymer_practice1_math_q17,The Latymer School Practice Test 1,Mathematics,17,13,multiple_choice,False,geometry,geom_line_symmetry_text,line_symmetry_letters_words,2,True,text_symmetry,no
epp_latymer_practice1_math_q18,The Latymer School Practice Test 1,Mathematics,18,13,multiple_choice,True,data_statistics,data_tables,table_lookup_difference,2,True,table,no
epp_latymer_practice1_math_q19,The Latymer School Practice Test 1,Mathematics,19,14,multiple_choice,False,measurement_units,meas_time_duration,time_duration_start_end,2,False,,no
epp_latymer_practice1_math_q20,The Latymer School Practice Test 1,Mathematics,20,15,multiple_choice,True,geometry,geom_perimeter_composite,perimeter_grid_composite,3,True,perimeter_shape,no
epp_latymer_practice1_math_q21,The Latymer School Practice Test 1,Mathematics,21,16,multiple_choice,True,geometry,geom_perimeter_composite,perimeter_grid_composite,3,True,perimeter_shape,no
epp_latymer_practice1_math_q22,The Latymer School Practice Test 1,Mathematics,22,17,multiple_choice,False,ratio_proportion_rates,prop_inverse_workers,inverse_workers_time,3,False,,no
epp_latymer_practice1_math_q23,The Latymer School Practice Test 1,Mathematics,23,18,multiple_choice,True,geometry,geom_coordinates_missing_vertex,coordinates_missing_rectangle,3,True,coordinate_grid,no
epp_latymer_practice1_math_q24,The Latymer School Practice Test 1,Mathematics,24,19,multiple_choice,True,geometry,geom_symmetry_completion,complete_shape_from_symmetry,3,True,symmetry_completion,no
epp_latymer_practice1_math_q25,The Latymer School Practice Test 1,Mathematics,25,20,multiple_choice,False,number_place_value,np_rounding,round_to_nearest_multiple,2,False,,no
epp_latymer_practice1_math_q26,The Latymer School Practice Test 1,Mathematics,26,20,multiple_choice,False,factors_multiples_powers,nm_multiples_in_range,multiples_in_range,2,False,,no
epp_latymer_practice1_math_q27,The Latymer School Practice Test 1,Mathematics,27,21,multiple_choice,False,percentages,pct_discount_sale_price,percentage_discount_final_price,2,False,,no
epp_latymer_practice1_math_q28,The Latymer School Practice Test 1,Mathematics,28,21,multiple_choice,False,measurement_units,meas_capacity,capacity_remaining_after_pouring,2,False,,no
epp_latymer_practice1_math_q29,The Latymer School Practice Test 1,Mathematics,29,22,multiple_choice,False,probability_sets_logic,sets_venn_overlap,set_overlap_minimum,4,False,,no
